業種名,業種説明
ガラス・土石製品,本業種は、板ガラスやガラス製品、セメント、生コンクリート、陶磁器、耐火物、炭素・黒鉛製品、研磨材料、骨材、石灰などを製造・販売する事業を行う。建築用・工業用のガラス素材やセメント系建材、ファインセラミックス、衛生陶器などが代表的な製品として含まれる。
鉄鋼,本業種は、鉄鉱石やスクラップ（鉄くず）を原料として銑鉄や粗鋼を製造し、これを圧延・加工して鋼材や鋳鍛造品を製造・販売する事業を行う。高炉メーカーや電炉メーカーによる鋼板、鋼管、形鋼、線材、表面処理鋼材などの生産が代表的な事業内容である。
非鉄金属,本業種は、銅、アルミニウム、亜鉛、鉛、ニッケルなど鉄以外の金属について、鉱石やスクラップから製錬・精製を行い、合金製造や圧延、抽伸、押出し加工などを経て非鉄金属製品を製造・販売する事業である。電線・ケーブルの製造や核燃料の加工も本業種に含まれる。
金属製品,本業種は、鉄鋼や非鉄金属を素材として、建設用・建築用金属製品、金属線製品、刃物、手道具、一般金物、めっき製品などの金属加工製品を製造・販売する事業を行う。プレス加工、溶接、鋳造、めっき処理などの金属加工技術を活かした部品や資材の製造が中心である。
機械,本業種は、汎用的に他の機械へ組み込まれるはん用機械器具や、生産設備として用いられる生産用機械器具を製造・販売する事業を行う。ポンプ、ベアリング、産業用ロボット、工作機械、建設機械、農業機械、繊維機械、化学機械など、製造業の生産プロセスを支える設備・部品の製造が含まれる。
電気機器,本業種は、電気エネルギーの発生・貯蔵・送電・変電・利用に関わる機械器具や、家庭用の民生用電気機械器具を製造・販売する事業を行う。発電機、変圧器、モーターといった重電機器から、家電製品（白物家電・AV機器）や産業用電気機器まで、幅広い電気機械製品の製造が含まれる。
輸送用機器,本業種は、自動車、二輪車、船舶、鉄道車両、航空機など、人や貨物を輸送するための機械器具を製造・販売する事業を行う。完成車を手掛ける自動車メーカーだけでなく、エンジンや駆動系、車体部品などを製造する自動車部品サプライヤーもこの業種に含まれる。
精密機器,本業種は、高い精度の加工・組立技術を要する精密機械器具の製造・販売を行う事業である。時計、カメラ、双眼鏡といった光学機械器具・レンズの製造のほか、計量器、測定器、分析機器、試験機、測量機械器具、理化学機械器具、体温計や血圧計、医療用画像診断装置などの医療用機械器具・医療用品の製造も含まれる。
その他製品,本業種は、飲料・たばこ・飼料、木材・木製品、家具、印刷、プラスチック製品、業務用機械器具、電子部品・デバイス、電力供給など、他のいずれの業種区分にも明確に該当しない多様な製品・サービスを扱う企業が分類される。具体的には、清涼飲料や酒類の製造、出版・印刷、家具の製造、プラスチックの成形加工、事務用機械器具の製造、半導体や電子部品・電子回路の製造などが幅広く含まれる。
電気・ガス業,本業種は、一般の需要に応じて電気、都市ガス、熱エネルギー（蒸気・温水・冷水）を供給する事業を行う。発電および送配電を担う電力会社、天然ガスや製造ガスを導管により供給するガス会社、地域冷暖房事業を営む熱供給事業者などが含まれる。
陸運業,本業種は、鉄道、軌道、自動車などにより旅客または貨物の輸送を行う事業である。鉄道会社による旅客輸送・貨物輸送のほか、バスやタクシーなどの道路旅客運送業、トラックによる道路貨物運送業（物流、宅配便を含む）が含まれる。
海運業,本業種は、船舶により海洋、沿海、港湾、河川、湖沼において旅客または貨物の輸送を行う事業を行う。外航海運によるコンテナ船、タンカー、バラ積み船（ばら積み貨物船）の運航のほか、内航海運やフェリーによる旅客輸送などが含まれる。
空運業,本業種は、航空機により旅客または貨物の輸送を行う事業、および航空機を使用したその他の請負業務を行う事業である。航空会社による旅客便・貨物便の運航や、航空機によるチャーターサービスなどが含まれる。
倉庫・運輸関連業,本業種は、貨物の保管を行う倉庫業、および鉄道、自動車、船舶、航空機による運送に付帯するサービスを提供する事業を行う。物流センターの運営、港湾運送、貨物利用運送（フォワーディング）、梱包や荷役といったサービスが含まれる。
情報・通信業,本業種は、有線・無線による通信インフラの提供、放送、ソフトウェアの受託開発・パッケージ開発、情報処理サービス、インターネット関連サービス、映像・音声・出版コンテンツの制作を行う事業である。通信キャリア、放送局、システムインテグレーター（SIer）、SaaS事業者、ゲームソフト開発会社、出版社などが幅広く含まれる。
卸売業,本業種は、生産者から仕入れた商品を小売業者や他の事業者に対して販売する事業を行う。繊維・衣服、飲食料品、建築材料、鉱物・金属材料、機械器具、医薬品・化粧品など、取り扱う商品分野に応じた専門商社や総合商社が含まれ、商品売買の代理・仲介業務を行う事業所も本業種に含まれる。
小売業,本業種は、消費者に対して衣食住に関わる商品を直接販売する事業を行う。百貨店、総合スーパー、コンビニエンスストア、ドラッグストア、ホームセンターといった各種商品小売業のほか、衣料品店、食品スーパー、家電量販店、通信販売（EC）など、業態を問わず最終消費者向けに商品を販売する企業が含まれる。
銀行業,本業種は、預金の受け入れと貸出を中心とした金融仲介業務を行う事業である。都市銀行、地方銀行、信託銀行などの普通銀行に加え、信用金庫、信用組合、農業協同組合、漁業協同組合などの協同組織金融機関も含まれる。
証券、商品先物取引業,本業種は、株式や債券などの有価証券の売買仲介、引受、自己売買を行う金融商品取引業、および商品先物取引の受託・仲介を行う事業である。証券会社による株式売買の取次ぎ、投資銀行業務（引受、Ｍ＆Ａ助言）、商品先物取引の受託業務、商品投資顧問業務などが含まれる。
保険業,本業種は、生命保険や損害保険といったあらゆる形態の保険引受業務を行う事業、および保険代理業や保険契約者に対する保険サービスの提供を行う事業である。生命保険会社、損害保険会社のほか、保険代理店、損害査定サービスを提供する企業、農業・漁業に係る共済事業を行う事業所などが含まれる。
その他金融業,本業種は、銀行等の預金取扱機関には該当しない金融関連事業を幅広く行う業種である。具体的には、消費者金融やクレジットカード業、リース業などの貸金業・非預金信用機関、および金融商品取引業や商品先物取引業と密接に関連する補助的・付随的業務、信託業、金融代理業などが含まれる。
不動産業,本業種は、不動産の売買、交換、または不動産の売買・貸借・交換の代理もしくは仲介を行う不動産取引業、および不動産の賃貸または管理を行う不動産賃貸業・管理業を行う事業である。オフィスビルやマンション、商業施設の開発・賃貸・管理、住宅の販売や仲介業務などが代表的な事業内容である。
サービス業,本業種は、物品賃貸業、学術・開発研究機関、専門サービス業、広告業、技術サービス業、宿泊業、飲食店、生活関連サービス業、娯楽業、教育、医療、社会福祉・介護事業、廃棄物処理業、自動車整備業、職業紹介・労働者派遣業など、他のいずれの業種区分にも該当しない幅広いサービス提供事業を行う企業が分類される。具体的には、産業用機械やスポーツ用品などのレンタル・リース、法務・会計・税務に関する専門サービス、広告代理店業務、ホテルや旅館の運営、レストランなどの飲食サービス、遊園地や映画館などの娯楽施設の運営、学習塾や専門学校などの教育サービス、病院や診療所の医療サービス、介護施設の運営、人材紹介・人材派遣サービスなどが幅広く含まれる。
